car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
RUSH S TRD SPORTIVO 1.5,Toyota,2018,60.929,Jakarta Timur,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,198000000,4030000
HR-V SE 1.5,Honda,2019,59.647,Jakarta Timur,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000
BRIO SATYA E 1.2,Honda,2018,71.172,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,136000000,2770000
RUSH S 1.5,Toyota,2014,74.334,Jakarta Utara,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,150000000,3060000
AGYA G TRD 1.2,Toyota,2019,16.097,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000
FORTUNER G TRD 2.5,Toyota,2014,89.433,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,282000000,5750000
HR-V S 1.5,Honda,2017,70.953,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,197000000,4010000
CALYA G 1.2,Toyota,2019,71.766,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000
SX4 S-CROSS 1.5,Suzuki,2019,35.009,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,192000000,3910000
KARIMUN GS 1.0,Suzuki,2017,93.534,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,92000000,1870000
TERIOS TX 1.5,Daihatsu,2014,101.93,Jakarta Timur,Manual,even plate,1,0,1,0,0,0,0,0,0,0,0,141000000,2870000
SIGRA X 1.2,Daihatsu,2020,38.327,Jakarta Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000
ALMAZ LT LUX 1.5,Wuling,2019,53.501,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999
ERTIGA SPORT GT 1.5,Suzuki,2019,96.327,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,192000000,3910000
BRIO SATYA E 1.2,Honda,2021,49.424,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,164000000,3340000
IGNIS GX 1.2,Suzuki,2019,64.346,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,141000000,2870000
HR-V E 1.5,Honda,2017,61.785,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,219000000,4460000
CALYA G 1.2,Toyota,2019,54.702,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000
YARIS S TRD 1.5,Toyota,2018,68.648,Jakarta Selatan,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,183000000,3730000
XPANDER ULTIMATE 1.5,Mitsubishi,2017,59.729,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,207000000,4220000
MOBILIO E 1.5,Honda,2018,51.833,Jakarta Utara,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,164000000,3340000
HR-V E 1.5,Honda,2019,39.444,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,265000000,5400000
RUSH S TRD SPORTIVO 1.5,Toyota,2020,9.823,Jakarta Barat,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,234000000,4770000
ERTIGA DREZA 1.4,Suzuki,2017,28.515,Jakarta Barat,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,151000000,3080000
RUSH S GR SPORT 1.5,Toyota,2021,34.441,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,242000000,4930000
BRIO SATYA E 1.2,Honda,2018,50.958,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000
BRIO RS 1.2,Honda,2019,48.518,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,178000000,3630000
HR-V E 1.5,Honda,2017,73.73,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,219000000,4460000
AGYA G TRD 1.2,Toyota,2018,45.947,Jakarta Timur,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000
RUSH S TRD SPORTIVO 1.5,Toyota,2018,34.555,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,214000000,4360000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,80.976,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,213000000,4340000
